player_id,player_name,position,country,date_of_birth,height
p103914,Charlie Taylor,Defender,England,9/18/1993,176
p103917,Joe Cracknell,Goalkeeper,England,9/28/1994,183
p103953,Suso,Midfielder,Spain,11/19/1993,177
p103955,Raheem Sterling,Forward,England,12/8/1994,170
p104047,Pelly-Ruddock Mpanzu,Midfielder,DR Congo,3/22/1994,175
p104073,Joe Ralls,Midfielder,England,10/12/1993,183
p104074,Adedeji Oshilaja,Defender,England,3/2/1993,181
p10425,Florent Malouda,Midfielder,France,6/13/1980,184
p1043,Giorgos Donis,Midfielder,Greece,10/22/1969,183
p10440,Bernt Haas,Defender,Switzerland,4/8/1978,185
p10445,Frédéric Piquionne,Forward,France,12/8/1978,188
p10449,Henri Camara,Forward,Senegal,5/10/1977,176
p1045,Marcus Stewart,Forward,England,11/7/1972,178
p10450,David Di Michele,Forward,Italy,0000-00-00,\N
p10451,Jermaine Jenas,Midfielder,England,2/18/1983,180
p104517,Kudos Oyenuga,Forward,England,3/18/1993,176
p104531,Courtney Meppen-Walter,Defender,England,8/2/1994,184
p104532,Devante Cole,Forward,England,5/10/1995,184
p104533,Ellis Plummer,,England,9/2/1994,\N
p104535,Harry Bunn,Forward,England,11/21/1992,175
p104536,Ian Lawlor,Goalkeeper,Ireland,10/27/1994,193
p104537,Jeremy Helan,,France,5/9/1992,181
p104538,Joan Román,Midfielder,Spain,5/18/1993,175
p104539,Jordy Hiwula-Mayifuila,Forward,England,9/21/1994,178
p10454,Dickson Etuhu,Midfielder,Nigeria,6/8/1982,188
p104542,Loris Karius,Goalkeeper,Germany,6/22/1993,189
p104545,Tommy Smith,Defender,England,4/14/1992,186
p104547,Dwight Gayle,Forward,England,10/17/1989,174
p1046,Scott Sellars,Midfielder,England,11/27/1965,170
p10460,Grant Leadbitter,Midfielder,England,1/7/1986,177
p10466,John Heitinga,Defender,Netherlands,11/15/1983,182
p1047,Clyde Wijnhard,Forward,Netherlands,11/1/1973,180
p10486,Jürgen Colin,Defender,Netherlands,1/20/1981,178
p1049,Kevin Richardson,Midfielder,England,12/4/1962,173
p10490,Konstantinos Chalkias,Goalkeeper,Greece,5/30/1974,198
p104953,Christian Atsu,Midfielder,Ghana,1/10/1992,165
p1050,Paul Holmes,Defender,England,2/18/1968,178
p105086,Kerim Frei,Midfielder,Turkey,11/19/1993,171
p105088,Adam Blakeman,Defender,England,12/3/1991,175
p1051,Ben Thornley,Midfielder,England,4/21/1975,173
p105185,Steven Hewitt,Midfielder,England,12/5/1993,175
p105186,Jordan Gibbons,Midfielder,England,11/18/1993,179
p105190,Anthony Forde,Midfielder,Ireland,11/16/1993,186
p1052,Adie Moses,Defender,England,5/4/1975,185
p105320,George Moncur,Midfielder,England,8/18/1993,176
p105321,Robert Hall,Forward,England,10/20/1993,173
p105322,Joe Riley,Defender,England,10/13/1991,184
p105377,Ezgjan Alioski,Midfielder,North Macedonia,2/12/1992,173
p1054,Barry Horne,Midfielder,Wales,5/18/1962,178
p10542,Youssef Safri,Midfielder,Morocco,1/13/1977,178
p10547,Marc Richards,Forward,England,7/8/1982,180
p10549,Dave Kitson,Forward,England,1/21/1980,191
p1055,Chris Adamson,Goalkeeper,England,11/4/1978,188
p10550,Rowan Vine,Forward,England,9/21/1982,185
p105518,Joel Valencia,Forward,Ecuador,11/16/1994,164
p1056,Scott Jones,Defender,England,5/1/1975,178
p10561,Karl Henry,Midfielder,England,11/26/1982,183
p105666,Jack Butland,Goalkeeper,England,3/10/1993,196
p105677,Cheick Touré,Defender,Cote D`Ivoire,12/16/1992,185
p105678,Shay Facey,Defender,England,1/7/1995,179
p105689,Luke Conlan,Defender,Northern Ireland,10/31/1994,180
p105692,Cameron Howieson,Midfielder,New Zealand,12/22/1994,181
p105696,Villyan Bijev,Forward,Bulgaria,1/3/1993,183
p1057,Graham Potter,Midfielder,England,5/20/1975,185
p105700,Davide Zappacosta,Defender,Italy,6/11/1992,185
p105702,Tommaso Trani,Goalkeeper,Italy,12/30/1993,202
p10571,Aaron McLean,Forward,England,5/25/1983,171
p105717,Arthur Masuaku,Defender,DR Congo,11/7/1993,179
p105731,Callum Tapping,Midfielder,Scotland,6/5/1993,178
p10578,Liam Lawrence,Midfielder,Ireland,12/14/1981,180
p105835,Eduardo Vargas,Forward,Chile,11/20/1989,170
p10589,Brian Murphy,Goalkeeper,Ireland,5/7/1983,183
p1059,Danny Gabbidon,Defender,Wales,8/8/1979,178
p10594,Joseph Yobo,Defender,Nigeria,9/6/1980,188
p1060,Eric Tinkler,Midfielder,South Africa,7/30/1970,188
p10602,Milan Baros,Forward,Czech Republic,10/28/1981,183
p10614,Björn Runström,Forward,Sweden,3/1/1984,186
p106175,Nick Arnold,,England,7/3/1993,180
p106177,Angus MacDonald,Defender,England,10/15/1992,184
p106178,Charlie Losasso,Midfielder,England,11/11/1992,182
p106179,Gozie Ugwu,Forward,England,4/22/1993,188
p1062,Delroy Facey,Forward,Grenada,4/22/1980,182
p106256,Jak Alnwick,Goalkeeper,England,6/17/1993,188
p1063,Craig Hignett,Forward,England,1/12/1970,175
p106300,David Moberg-Karlsson,Forward,Sweden,3/20/1994,179
p106348,Nouha Dicko,Midfielder,Mali,5/14/1992,173
p1064,Neil Shipperley,Forward,England,10/30/1974,185
p106419,Luke Coulson,,England,3/6/1994,\N
p106422,Emyr Huws,Midfielder,Wales,9/30/1993,177
p106423,George Evans,Midfielder,England,12/13/1994,184
p106449,Kevin Stewart,Defender,Jamaica,9/7/1993,181
p106450,Alex Pritchard,Midfielder,England,5/3/1993,171
p106451,Jack Barthram,Defender,England,10/13/1993,184
p106458,Eduard Campabadal,Defender,Spain,1/26/1993,176
